TIPOVOL;GRED;ISBN;CODVOL;TITOLO;ANNO;PREZZO;PESO;PAGINE
0-Scolastico;03C;9782278076345;30966;GHI*MONDES VF CERF EN AUTOMNE B1    ;13;13.10;150;0
0-Scolastico;03C;9782278076352;40966;GHI*MONDES VF COEUR A RIRE B2       ;13;15.20;180;0
0-Scolastico;03C;9782278072484;40962;GHI*MONDES VF CRAVATE DE SIMENON A2 ;13;7.10;100;0
0-Scolastico;03C;9782278076338;80965;GHI*MONDES VF ENFIN CHEZ MOI A2     ;13;7.10;150;0
0-Scolastico;03C;9782278076369;90965;GHI*MONDES VF JUS CHAUSSETTES A2    ;13;7.10;150;0
0-Scolastico;03C;9782278092338;95947;GHI*MONDES VF LES REVES DE JULES A1 ;20;9.00;60;48
0-Scolastico;03C;9782278076635;20966;GHI*MONDES VF MARCHE INCERTIT B1    ;13;15.20;180;0
0-Scolastico;03C;9782278094417;35873;GHI*MONDES VF MARIE CURIE A1        ;20;9.00;60;48
0-Scolastico;03C;9782278072507;50962;GHI*MONDES VF PAPA ET AUTRES NOU B1 ;13;13.10;100;0
0-Scolastico;03C;9782278072491;60962;GHI*MONDES VF PAS D OSCAR POUR A2   ;13;7.10;100;0
0-Scolastico;03C;9782278072514;70962;GHI*MONDES VF QUITTER DAKAR   B2    ;13;15.20;200;0
0-Scolastico;03C;9782278092345;65994;GHI*MONDES VF RENDEZ VOUS RUE A1    ;20;9.00;60;48
0-Scolastico;03C;9782278083398;80989;GHI*PHONETIQUE ESSENTIELLE A1 A2    ;16;28.80;510;216
0-Scolastico;03C;9782278087310;85952;GHI*PHONETIQUE ESSENTIELLE B1/B2+CD ;17;28.80;500;215
0-Scolastico;03C;9782278061013;80962;GHI*REUSSIR DALF C1/C2              ;13;26.00;470;0
0-Scolastico;03C;9782278065790;40964;GHI*REUSSIR DELF SCOL 2009 A2       ;13;19.40;340;0
0-Scolastico;03C;9782278065806;50964;GHI*REUSSIR DELF SCOL 2009 B1       ;13;16.30;340;0
0-Scolastico;03C;9782278065813;60964;GHI*REUSSIR DELF SCOL 2009 B2       ;13;16.30;340;0
0-Scolastico;03C;9782278082674;60969;GHI*SAISON 1 A1 CAHIER+CDA 2ED      ;16;14.60;240;144
0-Scolastico;03C;9782278082650;65846;GHI*SAISON 1 A1 LIVRE+CDA+DVD NED   ;16;23.90;580;216
0-Scolastico;03C;9782278079186;70967;GHI*SAISON 2 A2 CAHIER+CDA          ;14;14.60;250;0
0-Scolastico;03C;9782278077533;50967;GHI*SAISON 2 A2 LIVRE+CDA+DVD       ;14;24.40;580;0
0-Scolastico;03C;9782278081097;50969;GHI*SAISON 3 B1 CAHIER+CDA          ;15;14.80;250;0
0-Scolastico;03C;9782278080434;40969;GHI*SAISON 3 B1 LIVRE+CDA+DVD       ;15;26.10;600;0
0-Scolastico;03C;9782278081110;51035;GHI*SAISON 4 B2 CAHIER+CDA          ;16;14.70;230;144
0-Scolastico;03C;9782278081103;95868;GHI*SAISON 4 B2 LIVRE+CDA+DVD       ;16;25.80;600;224
0-Scolastico;03C;9782278052714;70964;GHI*TEST DE CONNAISSANCE            ;15;19.90;220;0
0-Scolastico;03C;9782278060559;80964;GHI*TRAV.FRANCAIS ENT A1/A2 GUIDE   ;13;22.70;320;0
0-Scolastico;03C;9782278061037;90964;GHI*TRAV.FRANCAIS ENT A1/A2 LIVRE   ;13;28.50;410;0
0-Scolastico;03C;9782278062621;20965;GHI*TRAV.FRANCAIS ENT A2/B1 GUIDE   ;13;22.00;310;0
0-Scolastico;03C;9782278062614;30965;GHI*TRAV.FRANCAIS ENT A2/B1 LIVRE   ;13;29.70;400;0
0-Scolastico;03C;9782278083404;21013;GHI*VOCAB ESSENTIEL A1-A2+CDA       ;16;28.80;590;216
0-Scolastico;03C;9782278087303;46014;GHI*VOCAB ESSENTIEL B1+CDA          ;17;28.80;580;252
0-Scolastico;03K;9788808617262;61726;GHIDELLI*SOCIETA  CHE CAMB ROSS LDM ;18;23.30;850;480
0-Scolastico;03K;9788808720726;72072;GHIDELLI*SOCIETA  CHE CAMBIANO  LDM ;18;25.00;870;496
0-Scolastico;03G;9788808520531;52053;GIANNETTO*MELTEMI 2ED           LDM ;19;29.60;920;528
0-Scolastico;03U;9788808153777;15377;GIBELLINI*DISEGNO MODA CNF 2 (C LMS ;08;23.60;580;272
0-Scolastico;03U;9788808194619;19461;GIBELLINI*PRODOTTO MODA 3-4 (CL LDM ;12;40.40;1040;448
0-Scolastico;03U;9788808248305;24830;GIBELLINI*PRODOTTO MODA 5 LMS (CLT) ;13;22.90;590;256
0-Scolastico;03P;9788808075970;07597;"GIORILLI""LIPETSKAIA*PANIFIC BR LM(L ";03;31.90;610;288
0-Scolastico;03P;9788808177445;17744;GIORILLI*IL PANE LM (LUC)           ;96;27.60;610;256
0-Scolastico;03W;9788808363046;36304;GOFFREDO*CREAR GEST STRU RIC 5(L LD ;18;12.90;400;176
0-Scolastico;03W;9788808823120;82312;GOFFREDO*CREAR GEST STRU RIS 5(L LD ;18;13.00;400;176
0-Scolastico;03W;9788808720733;72073;GOFFREDO*CREARE GEST STRU 3/4 (L LD ;18;25.50;730;336
0-Scolastico;03D;9788808272928;27292;GRASSO*HIT THE BRICKS LMS (CLT)     ;13;28.60;760;336
0-Scolastico;03D;9788808520234;52023;GRASSO*INTO SCIENCE 2ED (CLT)   LDM ;20;28.00;780;336
0-Scolastico;03D;9788808059475;05947;GRASSO*INTO SCIENCE LMS (CLT)       ;12;28.20;610;304
0-Scolastico;03K;9788808262783;26278;GUIDETTI#GRAMMAT.PENSIERO CNF 1 LMM ;12;34.80;1200;768
0-Scolastico;03K;9788808145093;14509;GUIDETTI#GRAMMAT.PENSIERO CNF 2 LMM ;12;37.40;1240;824
0-Scolastico;03K;9788808345141;34514;GUIDETTI#GRAMMAT.PENSIERO CNF 3 LMM ;12;38.00;1240;904
0-Scolastico;03T;9788808620934;62093;GUIDI*SISTEMI AUTOMATICI 2ED 1   LD ;18;21.60;700;328
0-Scolastico;03T;9788808765758;76575;GUIDI*SISTEMI AUTOMATICI 2ED 2   LD ;18;26.90;790;368
0-Scolastico;03T;9788808228352;22835;GUIDI*SISTEMI AUTOMATICI 2ED 3   LD ;18;28.60;880;408
0-Scolastico;03T;9788808245366;24536;GUIDI*SISTEMI AUTOMAZIONE 3 LMS     ;13;32.00;770;416
0-Scolastico;03T;9788808620842;62084;GUIDI*TECNOL PROGETT SISTEMI 1   LD ;16;27.60;720;376
0-Scolastico;03T;9788808337788;33778;GUIDI*TECNOL PROGETT SISTEMI 2   LD ;16;27.30;700;368
0-Scolastico;03T;9788808537782;53778;GUIDI*TECNOL PROGETT SISTEMI 3   LD ;16;25.30;620;328
0-Scolastico;03R;9788808521200;52120;HALLIDAY*FOND.FISICA 4ED 1      LDM ;15;42.20;1120;536
0-Scolastico;03R;9788808936578;93657;HALLIDAY*FOND.FISICA 4ED 2      LDM ;15;42.40;950;448
0-Scolastico;03R;9788808236586;23658;HALLIDAY*FOND.FISICA 4ED 3      LDM ;15;41.20;840;392
0-Scolastico;03N;9788808620514;62051;HART*CHIM ORG 8ED CARB/BIOMOL   LDM ;19;44.80;1030;592
0-Scolastico;03N;9788808539069;53906;HART*CHIM ORG 8ED CARB/POLIM    LDM ;19;39.30;840;464
0-Scolastico;03N;9788808832733;83273;HART*CHIM ORG 8ED LABORATORIO       ;19;24.30;770;352
0-Scolastico;03N;9788808220325;22032;HART*CHIMICA ORGANICA.BLU       LDM ;20;24.90;710;320
0-Scolastico;03I;9788808321299;32129;IARRERA*PAESAGGI TURISMO 1      LDM ;17;22.30;760;280
0-Scolastico;03I;9788808709080;70908;IARRERA*PAESAGGI TURISMO 2      LDM ;17;22.30;760;280
0-Scolastico;03I;9788808816757;81675;IARRERA*PAESAGGI TURISMO 3      LDM ;17;22.30;760;280
0-Scolastico;03E;9788808194794;19479;JETTI*VIAJE TEXTO LIT 3ED (CLT) LMS ;12;36.80;990;560
0-Scolastico;03N;9788808847690;84769;KLEIN*RACCONTO CHIM/TERRA IIBIE LDM ;18;33.70;780;384
0-Scolastico;03L;9788808873934;87393;KLEIN*RACCONTO SC.NAT ORG BIO   LDM ;18;17.00;410;160
0-Scolastico;03L;9788808875587;87558;KLEIN*RACCONTO SC.NAT ORG TET   LDM ;18;24.40;670;264
0-Scolastico;03K;9788808921307;92130;LACECLA*CULTURE IN VIAGGIO      LDM ;18;23.10;820;432
0-Scolastico;03K;9788808737229;73722;LANCINI*REGOLE MENTE II BIENNIO LDM ;18;20.40;820;384
0-Scolastico;03L;9788808058317;05831;LANCIOTTI*BIOL MICROBIOL(INT5E) LMS ;12;41.80;1070;608
0-Scolastico;03D;9788808155313;15531;"LAUZI""BUCHAN*SMILE (LUC)        LMS ";14;23.90;570;256
0-Scolastico;03U;9788808335012;33501;LEGNANI*COMPET GRAFICHE 5ANN(CLT LD ;14;19.60;490;208
0-Scolastico;03U;9788808193308;19330;LEGNANI*COMPETENZE GRAFICHE (CLT LD ;12;35.70;750;400
0-Scolastico;03U;9788808360762;36076;LEGNANI*PIANIFICAZ PUBBLIC LM (CLT) ;09;28.00;500;288
0-Scolastico;03G;9788808620156;62015;LEPERA*QUANTO SIAMO CLASSICI    LDM ;21;34.10;1260;784
0-Scolastico;03H;9788808521156;52115;"LEPRE""GASPERINI*GUIDA ES STATO LM   ";16;10.70;420;192
0-Scolastico;03H;9788808198327;19832;"LEPRE""PETRACC*LA STORIA 4E 1 LMM    ";12;32.00;810;424
0-Scolastico;03H;9788808243768;24376;"LEPRE""PETRACC*LA STORIA 4E 2 LMS    ";12;29.80;840;480
0-Scolastico;03H;9788808143778;14377;"LEPRE""PETRACC*LA STORIA 4E 3 LMS    ";12;33.50;1070;616
0-Scolastico;03H;9788808151735;15173;"LEPRE""PETRACCONE*NOI NEL TEMP 1 LDM ";15;24.30;910;496
0-Scolastico;03H;9788808936523;93652;"LEPRE""PETRACCONE*NOI NEL TEMP 2 LDM ";15;27.80;1040;544
0-Scolastico;03H;9788808236531;23653;"LEPRE""PETRACCONE*NOI NEL TEMP 3 LDM ";15;31.60;1270;672
0-Scolastico;03H;9788808420534;42053;"LEPRE""PETRACCONE*NOI TEMPO 2E 1 LDM ";20;25.30;1020;560
